PAGE_ID,PAGE_NAME,PAGE_MODE
283,User,Normal
284,Enterprise Design,Normal
285,SIT UAT,Normal
286,Estimation Deliverables,Normal
287,assumption report,Normal
288,File Download,Modal Dialog
289,Edit Sub Phase,Modal Dialog
290,Assumption Bank,Normal
291,Project Solution ,Normal
292,Documents_omkar_3,Normal
293,Create Plan Line test bottom scrollbar,Normal
294,Create Plan Line test,Normal
295,Text Compare,Normal
296,Task Details,Modal Dialog
297,Task Details,Normal
298,Tasks,Modal Dialog
299,My Tasks,Normal
300,Project Waves POC,Normal
301,Documents_omkar_4,Normal
302,Workshop,Normal
303,Bottom Up Estimate,Modal Dialog
304,Copy Estimation Details,Modal Dialog
305,Copy KDD,Modal Dialog
306,Resourse Estimation,Modal Dialog
307,Trail1_1,Normal
308,Trail P,Normal
309,Copy Test Case to Blueprint,Modal Dialog
310,Estimation Page,Normal
311,Select One Team Type,Modal Dialog
312,Third Party ,Modal Dialog
313,Add Sprint Team Member,Modal Dialog
314,Copy to Product,Modal Dialog
315,Add Employee Data,Modal Dialog
316,Copy Test Case to Product,Modal Dialog
317,Estimation Sublines,Normal
318,Client Details,Modal Dialog
319,Copy Test Case,Modal Dialog
320,Add Action Points,Modal Dialog
321,Capgemini Employes,Modal Dialog
322,Add Estimation Phase,Modal Dialog
323,Change Display Sequence for Workshop,Modal Dialog
324,Display seq for Workshop1,Normal
325,Change Display Sequence1,Modal Dialog
326,KDD Answers,Modal Dialog
327,Employee Details,Normal
328,Display seq for Workshop,Modal Dialog
329,Add Employee Data,Modal Dialog
330,Capgemini Employes,Modal Dialog
331,Change Display Sequence for work Shopss,Modal Dialog
332,Add Employee Dataa,Modal Dialog
333,Video Streaming For Workshope Content,Modal Dialog
334,Generic Report 2,Normal
335,Add Workshop Team Member,Modal Dialog
336,Change Display Sequence for work Sho,Modal Dialog
337,Project UserStory,Modal Dialog
338,Delete Workshop Member,Modal Dialog
339,Change Display For Workshop New,Modal Dialog
340,Change Display For Workshop New1,Modal Dialog
341,Edit Sprint1,Modal Dialog
342,Change Display Sequence for work Shop H,Modal Dialog
343,Delete Sprint Member,Modal Dialog
344,Schedule Trail,Normal
345,ganttchart copy,Modal Dialog
346,Add WBS Sub Line,Modal Dialog
347,Add Lines COPY,Modal Dialog
348,Customer,Normal
349,Customer Information,Modal Dialog
350,Project Member Delete,Modal Dialog
351,Delete Project Team Member,Modal Dialog
352,Print Template,Modal Dialog
353,ganttchart1,Modal Dialog
354,WBS Dependency for Project Plans,Modal Dialog
355,Tree Trail for Plan Template,Modal Dialog
356,Delete plan wbs dependency,Modal Dialog
357,DeletePlanTemplateLine,Modal Dialog
358,WBS,Normal
359,WBS Dependency,Modal Dialog
360,Multiple File Upload,Modal Dialog
361,Plan Master,Modal Dialog
362,Multiple File Upload,Modal Dialog
363,Delete WBS Lines,Modal Dialog
364,Edit WBS Lines,Modal Dialog
365,Add WBS Sub Lines,Modal Dialog
366,Blueprint Product Summary,Modal Dialog
367,Import component  for Blueprint Solution,Modal Dialog
368,Requirements,Normal
369,Maintain Plan Template,Normal
370,Import System Requirement for Project solution,Modal Dialog
371,Project Node (L4),Modal Dialog
372,R1 Details,Normal
373,WBS Dependency view,Modal Dialog
374,For Copy,Normal
375,Navigation Menu,Normal
376,EDIT TEMPLATE NAMES,Modal Dialog
377,Add Menu,Modal Dialog
378,Holidays,Normal
379,Create Plan Line test,Normal
380,Project Sub Plan Line COPY,Modal Dialog
381,Change Display Sequence WBS,Modal Dialog
382,Trail,Modal Dialog
383,Blackout Dates,Normal
384,Requirements_O,Normal
385,Requirements L4,Modal Dialog
386,My Role,Normal
387,PHASE DEPENDENCY,Modal Dialog
388,Assigned to,Modal Dialog
389,Edit R2,Normal
390,View Dependency for Phase,Modal Dialog
391,Data Load For Business Requirements,Modal Dialog
392,Create R1,Normal
393,Product Summary,Modal Dialog
394,Maintain Sub Phase for H,Modal Dialog
395,Edit Holidays,Normal
396,Leave Roster D,Normal
397,Add Project Team Member,Modal Dialog
398,Create R1,Normal
399,Create R1,Normal
400,Update Project Questionnaire,Modal Dialog
401,Project Questionnaire,Normal
402,Create/Update Additional Information,Modal Dialog
403,Project Summary,Normal
404,Create/Update Questionnaire,Modal Dialog
405,Create/Update Product Additional Information,Modal Dialog
406,Create/Update Product Questionnaire,Modal Dialog
407,Project Deliverables 407,Normal
408,Delete phase dependencyn H,Modal Dialog
409,Leave Roster,Normal
410,Reset Password,Normal
411,No of L3,Modal Dialog
412,Create/Update Project Additional Information,Modal Dialog
413,Create/Update Project Questionnaire,Modal Dialog
414,Add User,Modal Dialog
415,Process MAPS hyperlink,Modal Dialog
416,Demo Recordings hyperlink,Modal Dialog
417,KDD hyperlink,Modal Dialog
418,User Stories hyperlink,Modal Dialog
419,Copy Additional Information,Modal Dialog
420,L3 hyperlink,Modal Dialog
421,Copy Questionnaire,Modal Dialog
422,Copy Additional Information to Blueprint,Modal Dialog
423,Copy Questionnaire to Blueprint,Modal Dialog
424,Copy Additional Information to Product,Modal Dialog
425,Import Persona for Project solution,Modal Dialog
426,Copy Questionnaire to Product,Modal Dialog
427,Add User Role For Client,Modal Dialog
428,Select One Team Type for Role,Modal Dialog
429,Add User Role For Third party,Modal Dialog
430,MOM,Modal Dialog
431,plan Dates corrected,Modal Dialog
432,Import From File,Modal Dialog
433,Additional information hyperlink,Modal Dialog
434,Data Load For WBS,Modal Dialog
435,Export,Modal Dialog
436,Update Project Persona,Modal Dialog
437,View R2,Normal
438,Create New R2,Modal Dialog
439,Update Project Requirements,Modal Dialog
440,Data Load For Project Plan New Version,Modal Dialog
441,Import From  WBS File 1,Modal Dialog
442,Create Plan Line test,Normal
443,Questionnaire hyperlink,Modal Dialog
444,Update Project Persona,Modal Dialog
445,Update Project Workshop,Modal Dialog
446,L3 Assigned,Modal Dialog
447,Requirements_omkar4,Normal
448,Add New Holiday,Modal Dialog
449,Add New Blackout,Modal Dialog
450,Edit_updated_o,Normal
451,User_details_edit,Modal Dialog
452,Blackout Dates,Normal
453,Edit Blackout Dates,Normal
454,My task testing,Modal Dialog
455,User Story L4,Modal Dialog
456,Alert Page,Modal Dialog
457,Test Cases L4,Modal Dialog
458,Plan Master template copy,Modal Dialog
459,Link L4,Modal Dialog
460,Requirements_O2,Normal
461,Project Waves POC,Normal
462,chart,Modal Dialog
463,L3 Assigned for summarized,Modal Dialog
464,Delete Plan Template  dependency,Modal Dialog
465,Forget Reset Password,Normal
466,Link L4,Modal Dialog
467,Requirements_Omkar4,Normal
468,Edit Leaves,Modal Dialog
469,Project Member Access,Modal Dialog
470,Project_Member_Edit,Modal Dialog
471,Refresh from WBS,Modal Dialog
472,edit_o,Normal
473,View R2 Details,Normal
474,Import Workshop for Project solution,Modal Dialog
475,Maintain Phase Type ,Normal
476,Edit R2,Normal
477,Business Requirements,Normal
478,Create R2,Normal
479,Import  Project Plan,Modal Dialog
480,Add new Phase type,Modal Dialog
481,add new sub phase type,Modal Dialog
482,Create/Edit R2,Normal
483,Task Details,Normal
484,Add New Document,Modal Dialog
485,Export_summ,Modal Dialog
486,Project Business Requirements,Modal Dialog
487,Action Points hyperlink ,Modal Dialog
488,Delete Workshop Document details,Modal Dialog
489,r2 demo,Normal
490,Edit Components,Modal Dialog
491,Export Workshop,Modal Dialog
492,Import Business Requirement for Project solution,Modal Dialog
493,L3 hyperlink for ALL,Modal Dialog
494,Edit Production Components,Modal Dialog
495,File Upload,Modal Dialog
496,File Download,Modal Dialog
497,Edit Document Details,Modal Dialog
498,Create Component,Modal Dialog
499,Process MAPS hyperlink for ALL,Modal Dialog
500,KDD hyperlink for all,Modal Dialog
501,User Stories hyperlink for all,Modal Dialog
502,Additional information hyperlink for all,Modal Dialog
503,Questionnaire hyperlink for all,Modal Dialog
504,Action Points hyperlink for all,Modal Dialog
505,Testing popup,Modal Dialog
506,Edit Project Components,Modal Dialog
507,Smartsheet Token Details,Normal
508,Token Detail,Modal Dialog
509,Export Workshop Content,Modal Dialog
510,Export Workshop Action,Modal Dialog
511,Delete L3,Modal Dialog
512,Create Project Story,Modal Dialog
513,Merged Export,Modal Dialog
514,WorkshopActionPoint Delete Page,Modal Dialog
515,Requirements_O3,Normal
516,Update Leave sheet,Normal
517,Delete User Stories,Modal Dialog
518,Download Report For Workshop,Modal Dialog
519,User Stories Download report,Modal Dialog
520,View History,Modal Dialog
521,Template Multiple Upload Trail,Modal Dialog
522,MASTER DETAIL,Normal
523,Create Folder/Upload File in Project Document Library,Modal Dialog
524,Pages,Normal
525,Test Menus,Normal
526,Update Leave Sheet,Modal Dialog
527,Master Detail,Normal
528,Multiple File Upload,Modal Dialog
529,All Tasks - copy,Normal
530,Multiple File ReUpload,Modal Dialog
531,Multiple File Download,Modal Dialog
532,Role Levelling,Normal
533,Leave Roster,Normal
534,Task Details,Normal
535,Resource Leveling Month,Normal
536,Template Upload,Modal Dialog
537,Multiple File Upload,Modal Dialog
538,Multiple File ReUpload,Modal Dialog
539,Export Process Hierarcy,Modal Dialog
540,Role Leveling for Backup,Normal
541,Role Levelling,Normal
542,All Tasks - copy 2,Normal
543,Resource Leveling Role Testing,Normal
544,Role Levelling,Normal
545,All Tasks,Normal
546,All Tasks,Normal
547,Multiple File Download,Modal Dialog
548,Create Plan Line test,Normal
549,Create Plan Line test,Normal
550,Plan copy,Normal
551,Maintain Phase Type 1,Normal
552,Page Creation,Normal
553,Download reports,Modal Dialog
554,Pull Tags,Normal
555,Import for KDDs,Modal Dialog
556,Import From File,Modal Dialog
557,Import  Action Points,Modal Dialog
558,All Tasks,Normal
559,Merged Export for Track,Modal Dialog
560,ADD TABS,Modal Dialog
561,Download Report For Workshop,Modal Dialog
562,Download Report For Workshop,Modal Dialog
563,Add new Phase type,Normal
564,Edit tabs,Modal Dialog
565,Tab Access,Modal Dialog
566,Merged Export for workshop,Modal Dialog
567,Download Report For Workshop Sumz,Modal Dialog
568,Download Report For Modules,Modal Dialog
569,Module Download report,Modal Dialog
570,Merged Export Module,Modal Dialog
571,All Tasks,Normal
572,Master Detail Demo,Normal
573,Compare_Project_2,Normal
574,All Tasks - copy,Normal
575,Compare Versions,Normal
576,Project Waves POC,Normal
577,Master Detail LOV,Normal
578,All Reports,Modal Dialog
579,Add new sub Phase type,Modal Dialog
580,Create Plan Line test_omkar,Normal
581,Import for User Stories,Modal Dialog
582,Questionnaire2,Modal Dialog
583,Create/Update Product Questionnaire2,Modal Dialog
584,Demo Page,Normal
585,Import KDD for Project,Modal Dialog
586,Config Driven UI POC,Normal
587,EXPORT_tEST,Normal
588,create/update questionnaire2,Modal Dialog
589,Questionnaire product,Modal Dialog
590,Roles,Normal
591,edit_functionalities,Modal Dialog
592,Add KDDs,Modal Dialog
593,Plan Line,Normal
594,TEST_USERS,Normal
595,Import for KDDs,Modal Dialog
596,Grant L3,Modal Dialog
597,Config Driven UI POC 2,Normal
598,Add Project Story,Modal Dialog
599,Workshop file upload,Modal Dialog
600,Import for User Stories,Modal Dialog
601,Process Flow ,Modal Dialog
602,Import User Stories,Modal Dialog
603,Role Functionalities,Normal
604,Import component  for Project Solution,Modal Dialog
605,CUSTOMER_BLOB,Normal
606,TEST_USERS_COPY,Normal
607,Grant L1,Modal Dialog
608,Create Plan Line ,Normal
609,WIP-155,Normal
610,WIP-156,Normal
611,WIP-157,Normal
612,Import Process Flow for Project solution,Modal Dialog
613,upload process flows blueprint,Modal Dialog
614,WIP-158,Normal
615,WIP-159,Normal
616,File Download,Modal Dialog
617,WIP-160,Normal
618,WIP-161,Normal
619,WIP-162,Normal
620,Import component ,Modal Dialog
621,Workshop Schedule,Normal
622,Create Workshop,Modal Dialog
623,File Download For Workshop Schedule,Modal Dialog
624,ED Workshop Schedule Export,Modal Dialog
625,Data Load For ED Workshop schedule,Modal Dialog
626,Import component  for Blueprint Solution,Modal Dialog
627,WIP-163,Normal
628,WIP-164,Normal
629,WIP-165,Normal
630,WIP-166,Normal
631,WBS Export,Modal Dialog
632,WIP-167,Normal
633,WIP-168,Normal
634,WIP-169,Normal
635,WIP-170,Normal
636,WIP-171,Normal
637,WIP-172,Normal
638,View Files ,Modal Dialog
639,ViewFiles vsd,Modal Dialog
640,ViewFiles vsd,Modal Dialog
641,WIP-173,Normal
642,WIP-174,Normal
643,WIP-175,Normal
644,WIP-176,Normal
645,WIP-177,Normal
646,Export Process Hierarcy,Modal Dialog
647,WIP-178,Normal
648,WIP-179,Normal
649,WIP-180,Normal
650,WIP-181,Normal
651,WIP-182,Normal
652,WIP-183,Normal
653,WIP-184,Normal
654,WIP-185,Normal
655,WIP-186,Normal
656,WIP-187,Normal
657,WIP-188,Normal
658,WIP-189,Normal
659,WIP-190,Normal
660,WIP-191,Normal
661,Update Process Flow,Modal Dialog
662,WIP-192,Normal
663,WIP-193,Normal
664,WIP-194,Normal
665,Process Flow ,Modal Dialog
666,Update DemoRecording,Modal Dialog
667,Grant L2,Modal Dialog
668,TEST CASES,Modal Dialog
669,Update Project Story,Modal Dialog
670,Role-Application Access,Normal
671,Home1 - copy,Normal
672,Tree,Normal
673,Menu Access,Normal
674,Config Driven UI POC Filters,Normal
675,Request for access,Modal Dialog
676,Home1,Normal
677,Config Test For Link,Normal
678,Create Plan Line testing,Normal
679,Plan,Normal
680,Request For Access,Modal Dialog
681,Testing Link,Modal Dialog
682,All Tasks,Normal
683,TEST_USERS_COPY_IR,Modal Dialog
684,Edit Task details,Modal Dialog
685,Plan,Normal
686,Test Component Region Type,Normal
687,Create User Type,Normal
688,Component Region Type,Normal
689,All Tasks ,Normal
690,gantt test plugin,Normal
691,All Tasks  - Muttu1,Normal
692,All Tasks ,Normal
693,All Tasks ,Normal
694,Plan,Normal
695,Config Driven UI POC (Backup),Normal
696,Demo Master Page,Normal
697,Plan Line_o,Normal
698,gantt test plugin,Modal Dialog
699,Plan Line_O2,Normal
700,Manage Application Suite and Modules,Normal
701,Domain Master,Normal
702,Manage Project/Domain/Module,Normal
703,Manage Project Application Access,Normal
704,Create Plan Line test,Normal
705,ICT DEMO,Normal
706,Compare Versions,Normal
707,Home_page_screen_testing,Normal
708,Demo Test,Normal
709,Maintain Project,Normal
710,Product Selection,Modal Dialog
711,Product Selection,Modal Dialog
712,COMPONENT CONVERSION,Normal
713,Compare Versions,Normal
714,Industry,Normal
715,Domain & Modules,Normal
716,Geographies,Normal
717,Language,Normal
718,Currency,Normal
719,Legacy Application (Source system for DM),Normal
720,Third Party Applications,Normal
721,Create Plan Line test_test,Normal
722,Component Integration,Normal
723,Component reports,Normal
724,Component Config Workbook,Normal
725,Integrated System,Normal
726,Manage Roles,Normal
727,Manage Role Tst,Normal
728,Import KDDs,Normal
729,L4 System Requirements,Modal Dialog
730,Add Employee Data,Normal
731,Plan - WIP,Normal
732,My Tasks - copy,Normal
733,My Tasks,Normal
734,export gantt to excel,Normal
735,Phases,Normal
736,Export Project Phase,Modal Dialog
737,Task Allocation New,Normal
738,Task Allocation,Normal
739,L4 Business Requirements,Modal Dialog
740,Excel to Export,Normal
741,Task Allocation New 1,Normal
742,Product Domain Mapping,Normal
743,Task Allocation 2,Normal
744,KPIs,Modal Dialog
745,URL_Page,Normal
746,Data Dictionary,Normal
747,KPIs Project,Normal
748,Create Data Dictionary,Modal Dialog
749,Data Dictionary Upload,Modal Dialog
750,All Tasks ,Normal
751,All Tasks ,Normal
752,Config UI Demo,Normal
753,Administration,Normal
754,Scope Business Requirements L3,Normal
755,Role Levelling Testing,Normal
756,Product,Normal
757,Compare Versions,Normal
758,WIP-195,Normal
759,WIP-196,Normal
760,WIP-197,Normal
761,WIP-198,Normal
762,WIP-199,Normal
763,WIP-200,Normal
764,WIP-201,Normal
765,WIP-202,Normal
766,WIP-203,Normal
767,Domain-Modules,Modal Dialog
768,PORTAL_LINKS,Modal Dialog
769,SM_DEMO_8,Normal
770,User Management,Normal
771,EDIT_PORTALLINKS,Modal Dialog
772,Import Business requirements,Modal Dialog
773,Product new,Normal
774,POC TEST FILTER,Normal
775,Demo Config Driven UI Modal,Modal Dialog
776,TEST FORM PAGE CREATION,Modal Dialog
777,Test Component Region Type,Normal
778,TEST MASTER DETAIL DETAIL,Normal
779,WIP-204,Normal
780,WIP-205,Normal
781,WIP-206,Normal
782,WIP-207,Normal
783,WIP-208,Normal
784,WIP-209,Normal
785,WIP-210,Normal
786,WIP-211,Normal
787,All Tasks ,Normal
788,WIP-212,Normal
789,WIP-213,Normal
790,Compare Versions,Normal
791,WIP-101,Normal
792,WIP-102,Normal
793,WIP-103,Normal
794,WIP-104,Normal
795,WIP-105,Normal
796,WIP-106,Normal
797,WIP-107,Normal
798,WIP-108,Normal
799,WIP-109,Normal
800,WIP-110,Normal
801,WIP-111,Normal
802,WIP-112,Normal
803,WIP-113,Normal
804,WIP-114,Normal
805,WIP-115,Normal
806,WIP-116,Normal
807,WIP-117,Normal
808,WIP-118,Normal
809,WIP-119,Normal
810,WIP-120,Normal
811,WIP-121,Normal
812,WIP-122,Normal
813,WIP-123,Normal
814,WIP-124,Normal
815,WIP-125,Normal
816,WIP-126,Normal
817,WIP-127,Normal
818,WIP-128,Normal
819,WIP-129,Normal
820,WIP-130,Normal
821,WIP-131,Normal
822,WIP-132,Normal
823,WIP-133,Normal
824,WIP-134,Normal
825,WIP-135,Normal
826,WIP-136,Normal
827,WIP-137,Normal
828,WIP-138,Normal
829,WIP-139,Normal
830,WIP-140,Normal
831,WIP-141,Normal
832,WIP-142,Normal
833,WIP-143,Normal
834,WIP-144,Normal
835,WIP-145,Normal
836,WIP-146,Normal
837,WIP-147,Normal
838,WIP-148,Normal
839,WIP-149,Normal
840,WIP-150,Normal
841,WIP-151,Normal
842,WIP-152,Normal
843,WIP-153,Normal
844,Compare Versions,Normal
845,Compare Versions,Normal
846,L4 Process,Normal
847,Task Details,Normal
848,Business Requirements,Normal
849,Review,Normal
850,Domain-Module,Normal
851,Feedback,Modal Dialog
852,Dashboard View,Modal Dialog
853,Scope Product L3,Normal
854,gantt excel,Normal
855,Scope Domain-Module L3,Normal
856,Linked Pages for Menus,Normal
857,Link Pages,Modal Dialog
858,Resource Costing,Normal
859,Project Financial,Normal
860,Why is it Amber/Red,Normal
861,EWS Parameters,Normal
862,Business Requirements(IG),Normal
863,Early Warning System,Normal
864,Early Warning System,Normal
865,Business Requirements,Normal
866,System Requirement,Normal
867,User Stories,Normal
868,Test Scenarios,Normal
869,Test Steps,Normal
870,Task Allocation,Normal
871,New project plan line,Modal Dialog
872,New project plan line,Modal Dialog
873,Geography details,Normal
874,Blueprint Counts,Normal
875,Blueprint Counts,Normal
876,Persona,Modal Dialog
877,Geography,Normal
878,Import,Modal Dialog
879,Sort,Normal
880,Features(L4),Modal Dialog
881,Test Scenarios,Modal Dialog
882,TEST Scenario,Modal Dialog
883,Hyperlink,Modal Dialog
884,Solution Integrity,Modal Dialog
885,User Stories,Modal Dialog
886,Allocation1,Normal
887,test config,Normal
888,All Tasks ,Normal
